,f_stat,p_val
LOC101930081,7.656064811964499,0.001323864986747301
RALGAPA2,7.603873083405559,0.0013770657962828515
DICER1-AS1,7.591281498099421,0.0013902315058885852
NBN,7.5836286982565575,0.0013982972971028566
FOXP1-IT1,7.560784905391995,0.0014226653333277242
SCAMP5,7.519994492976378,0.0014672848335949467
TMEM184A,7.49762693435035,0.001492369128481742
WDR86-AS1,7.485433686533973,0.0015062312515157787
FCHSD1,7.43889280569455,0.0015603884279076646
RCAN2,7.41379504317764,0.0015904322260759092
ETFBKMT,7.403024398155323,0.0016035098103212733
AIG1,7.391615412502242,0.0016174847959023921
FAM133DP///FAM133B,7.349926219017948,0.0016696395177814441
KMT5B,7.329324699392036,0.0016960571627654285
GGNBP2,7.316945349424628,0.0017121406594968569
CTAG2,7.290734037195462,0.0017467219054772788
GTF2A1,7.25890441774477,0.0017896969323545585
LINC00616,7.256725564383097,0.0017926787523147377
NEB,7.243082529582807,0.0018114677493243827
HACD3,7.20216014046918,0.0018690669021408995
ISCA2,7.187399470756457,0.0018903086626281746
SON,7.174489885830069,0.001909092878924132
SLC4A4,7.170150872928619,0.0019154500121458008
CLPX,7.158835011663706,0.001932133044033619
LOC100132167,7.123398937944353,0.001985363577564049
ALDH1L1-AS2,7.12124355011522,0.0019886502351331424
HAAO,7.113351095512251,0.002000733592070406
PTK7,7.057526633076244,0.002088416366401628
SCGN,7.044845312655067,0.002108887469223579
ZNF430,7.030814455793744,0.00213178106474113
KRTAP1-3,7.012524705489545,0.0021620133824390457
C17orf77,6.9721039692869935,0.0022304237936484925
ACTRT3,6.942331368522708,0.002282253606214183
KLHL32,6.897604039405639,0.0023624898684889866
LOC101927451,6.871261619675111,0.0024111164797653403
GAL3ST4,6.870690765069689,0.002412181722867152
GVINP1,6.865715439743024,0.002421486727153366
ZNF597,6.859408965328489,0.002433335094808699
SCGB1D2,6.854892816153126,0.0024418569946750286
ASH1L-AS1,6.8295425220023,0.002490273583768671
PRR13,6.818037863945345,0.002512575523148447
UTP3,6.75956886344834,0.0026291809025219557
KIZ,6.698684103233346,0.0027566162598413597
FAM122C,6.6926294599544285,0.0027696362864897523
LOC100130987///RAD9A,6.685419285049532,0.00278522487017691
ANKRD26P3,6.673958132811971,0.0028101927127852154
VN1R4,6.672939403428926,0.0028124232534536687
TTC3P1///TTC3,6.66475414755011,0.002830412266658883
ST8SIA4,6.650029411323721,0.002863075959506658
APOA4,6.60626483786383,0.002962498488421218
TTTY10,6.584637238039283,0.0030129536738277463
ZBTB7B,6.583206625093482,0.00301632259386816
USP33,6.565081264243194,0.0030593473263732817
LINC00174,6.5628222805879375,0.0030647542117050322
DNAJC3,6.556292008231152,0.0030804405397355404
FBXO4,6.5553229777553454,0.0030827753643492438
TRMT13,6.555005790749088,0.0030835400093921603
LOC646214,6.547276492423129,0.003102234331494158
U2AF1,6.531006220026053,0.0031419733063450727
MYCBP2,6.530998247089963,0.003141992909237867
PPARA,6.521902896787325,0.003164438712932766
RAB15,6.509903356780227,0.0031943076220527634
MIR7703///PSME2,6.508808489416858,0.0031970475278200903
GABRR1,6.507887277118713,0.0031993547597801435
LRRC75B,6.502470411917491,0.003212956787002837
CSNK1E,6.488439398460898,0.003248470456457844
ALKBH3-AS1,6.486081506887007,0.003254478528464431
CLP1,6.482641671940293,0.0032632642537449175
CMTM4,6.481490398449626,0.003266210255601933
PIP5K1C,6.4744242488938655,0.003284352715514767
PRORSD1P,6.47127795439426,0.0032924646557791304
CTD-2297D10.2,6.469082923088258,0.0032981363674134245
PWWP2A,6.461545163124153,0.003317690755145692
OCLM,6.453103699457382,0.0033397330709985305
GPR84,6.451136584169395,0.0033448914951101313
KLF11,6.443203703743527,0.003365778562658637
FLJ30064///BRI3,6.441346775621858,0.0033706874176808255
LOC100507165,6.430318273519317,0.0033999958674639282
CDH11,6.396089837789695,0.003492662334888649
AP4B1,6.395657147744807,0.0034938504649319503
CCDC90B,6.376047024930857,0.0035481429300824496
SLC38A10,6.348051603531218,0.003627179697032889
TPRG1L,6.333583449374886,0.003668743554237988
IQCC,6.312930822245599,0.003728936287224957
SRSF4,6.306813963337619,0.0037469610143838782
SPPL2A,6.261039397379071,0.0038847630674801446
RFX3,6.259069740637984,0.0038908098869567995
P2RY10,6.258750572104461,0.003891790653517461
CDKN1A,6.254918408712617,0.0039035865773706774
GSTA4,6.230325239674106,0.003980180312185089
PDZD2,6.224885096035544,0.003997333910189602
UBE2E2-AS1,6.22225080031179,0.004005667923951981
LOC728061,6.220531120215963,0.004011118176543004
FLRT1,6.211179625270185,0.004040891890214689
SLC35F3,6.210593770430573,0.004042764814104353
CCT8L2,6.206354245617082,0.004056345183855273
SRP72,6.18670881764749,0.004119898575535114
RAE1,6.1708877800107995,0.004171834294849497
KCNRG///TRIM13,6.16007843401607,0.004207710262645814
AASS,6.159723401621256,0.00420889404826554
LOC389332,6.154415152495947,0.004226634824121945
DZIP3,6.134639171660047,0.004293417645457703
KANSL1,6.1274589917767806,0.004317936288525321
EED,6.1183165266812765,0.004349367121014049
CDK5R2,6.110286179106852,0.004377171375843722
LOC100128343,6.110163750185173,0.004377596704681611
GNRH1,6.105516491796384,0.0043937735902682285
GPR75,6.102602427968896,0.0044039490896817714
LOC283737,6.095454893994498,0.004429011438031349
ZNF264,6.095122501224972,0.004430180563080003
TLL1,6.076016557427965,0.004497925595361995
MTF2,6.062339939813539,0.004547082213187172
CWF19L2,6.0566123115069885,0.0045678345936313695
ERP44,6.054860086442378,0.004574202972679176
